name,filename,group,source,gm_id,scale_id,pga_ms2,rms_acc_ms2,arias_proxy,duration_5_95_s,n_steps,dt,dominant_freq_hz,spectral_centroid_hz,band_0p1_1_hz,band_1_5_hz,band_5_10_hz,band_10_25_hz,sa_t0_ms2,psa_t0p2_ms2,psa_t0p5_ms2,psa_t1p0_ms2,psa_t2p0_ms2,psa_mean_0p1_0p5,psa_mean_0p5_1p5,psa_mean_1p5_4p0,pc1,pc2,train_nn_distance,train_nn_percentile
knet_gm1407_s09,knet_gm1407_s09.txt,train_pool,knet,1407.0,9.0,0.99401,0.14751254053554597,1.305596976915039,21.919999999999998,3000,0.019999999999999574,2.1166666666667115,4.780841045273622,0.08693506841931768,0.8335507458306017,0.07155200672335126,0.007958783986953608,0.99401,1.787933212,4.060226413,1.590680644,0.5046318576,2.662183928444444,1.6763907239333333,0.2753376848545098,1.6515375771096121,2.527755961987427,0.0,0.0
knet_gm1408_s09,knet_gm1408_s09.txt,fixed_test,knet,1408.0,9.0,0.97416,0.12722279169914097,0.9711383236633598,23.14,3000,0.019999999999999574,1.8666666666667062,8.892834568173901,0.07549218158936985,0.23337966515814126,0.44477931062630705,0.24628943119141844,0.97416,1.780696109,1.078485354,0.6335748656,0.3510371321,1.5077591005666666,0.6241391164761905,0.27499726552745096,-3.3876404689081903,-2.3463382354125217,1.3564578074585174,46.733333333333334
knet_gm1409_s09,knet_gm1409_s09.txt,fixed_test,knet,1409.0,9.0,1.0,0.080612816290941,0.3899055690214109,15.899999999999999,3000,0.019999999999999574,0.3500000000000074,9.84640766173218,0.10539029545838317,0.22970205524552584,0.2973077456496753,0.3675063985875363,1.0,1.661001363,0.5956998444,0.3533300411,0.3179126152,1.1870479328,0.410390345652381,0.2916019355764706,-4.1958342375258715,-2.2825197442359784,2.1797818205745214,94.53333333333333
knet_gm1410_s09,knet_gm1410_s09.txt,train_pool,knet,1410.0,9.0,1.0,0.1335564120406012,1.070238911829509,17.000000000000004,3000,0.019999999999999574,0.7000000000000148,5.207591227332956,0.12782643337448063,0.7804594344746943,0.07068170829535614,0.020996163359311988,1.0,1.679857787,2.517445945,1.010182013,0.3142806782,2.2184412776666664,1.4246851625476191,0.29273410279411766,0.4834933885403295,1.8454476215126452,5.960464477539063e-08,0.0
knet_gm1411_s09,knet_gm1411_s09.txt,train_pool,knet,1411.0,9.0,0.98488,0.1328778111235899,1.059390761339765,17.960000000000004,3000,0.019999999999999574,1.1333333333333573,7.053451701025868,0.04721024262542863,0.4745687513293458,0.42739824121249426,0.0507746784718749,0.98488,3.0818126,1.266241009,0.8572245851,0.2790700403,2.2157092193333336,0.8175804720285716,0.1613109395919608,-2.1262262278174435,0.27613634168091417,0.0,0.0
knet_gm1412_s09,knet_gm1412_s09.txt,train_pool,knet,1412.0,9.0,1.0,0.159281018779402,1.5222265766042224,19.519999999999996,3000,0.019999999999999574,3.6166666666667435,7.295136669579882,0.08532535149349761,0.5314312762179035,0.3004891240535579,0.08269149239912434,1.0,2.588359128,1.362292441,1.037104501,0.4046328324,2.1938203384444446,1.091344497757143,0.3028882706639216,-1.1639796313591173,-0.06460267012288752,0.0,0.0
knet_gm1413_s09,knet_gm1413_s09.txt,train_pool,knet,1413.0,9.0,1.0,0.193664085931846,2.250346690788999,27.88,3000,0.019999999999999574,1.9333333333333744,3.8392961025407333,0.12488746797316176,0.8037856235836984,0.06914092054934326,0.00193755793967357,1.0,2.149171319,3.39675163,1.223668624,0.4516421238,2.6029861624444446,1.94224701147619,0.32698024812941173,2.411474069169251,1.9413000459651157,0.0,0.0
knet_gm1414_s09,knet_gm1414_s09.txt,train_pool,knet,1414.0,9.0,1.0,0.16101195723245917,1.5554910223096075,23.34,3000,0.019999999999999574,1.0833333333333564,3.530762197464946,0.05941903312144752,0.9069074937504342,0.03261291146096986,0.0010353033495648152,1.0,1.631734193,2.74806208,1.185856716,0.5042944554,2.5811808765555555,1.497279888252381,0.22796834481666672,1.5653821867023696,2.5438559090664175,0.0,0.0
knet_gm1415_s09,knet_gm1415_s09.txt,fixed_test,knet,1415.0,9.0,0.99065,0.11876797219771601,0.8463498731974296,16.16,3000,0.019999999999999574,1.0000000000000213,4.398171587299984,0.10641970518633817,0.8066926272769952,0.07537671042830274,0.011443804196057318,0.99065,2.055442724,1.692338353,1.196854523,0.3275397357,2.279156907888889,1.082193713747619,0.23742490307254902,-0.11889831830605439,1.8851734905005861,0.8922490822157347,3.4666666666666663
knet_gm1416_s09,knet_gm1416_s09.txt,train_pool,knet,1416.0,9.0,0.97966,0.11039316276607992,0.7311990231298743,17.580000000000002,3000,0.019999999999999574,2.8333333333333934,4.074265043127389,0.07554640829816604,0.8529387418133522,0.06690515821239142,0.004479241539461785,0.97966,2.26434775,1.242385053,0.6008644868,0.3358173343,2.1486518455555554,0.7596485310619047,0.20040611045431372,-1.094840993350837,1.7834357786195743,5.960464477539063e-08,0.0
knet_gm1417_s09,knet_gm1417_s09.txt,train_pool,knet,1417.0,9.0,0.99389,0.14036606296166912,1.1821578978815315,24.42,3000,0.019999999999999574,3.2166666666667347,6.491329843865311,0.04914447622454385,0.5843837388999163,0.30543065419354487,0.06100176648923096,0.99389,2.752395964,1.173233431,0.4412076175,0.3457832964,2.349734907,0.6551996972238096,0.29061442781372554,-1.7768540903174963,0.4606362323617393,4.2146848510894035e-08,0.0
knet_gm1418_s09,knet_gm1418_s09.txt,train_pool,knet,1418.0,9.0,1.0,0.10809072802684494,0.7010163291223886,16.48,3000,0.019999999999999574,7.916666666666835,6.834853446996517,0.07208408036143484,0.28682564484927997,0.5800973248018749,0.06098160200865608,1.0,2.262137833,0.7169275491,0.456152363,0.4336011374,1.5154762413666667,0.5182764312428572,0.2224723635121569,-3.710186059471234,-1.3209021269808527,0.0,0.0
